id;code;description;default_value
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-exclamation;fa-exclamation css class;fa-exclamation
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-exclamation-circle;fa-exclamation-circle css class;fa-exclamation-circle
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-exclamation-triangle;fa-exclamation-triangle css class;fa-exclamation-triangle
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-external-link;fa-external-link css class;fa-external-link
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-external-link-square;fa-external-link-square css class;fa-external-link-square
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-eye;fa-eye css class;fa-eye
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-eye-slash;fa-eye-slash css class;fa-eye-slash
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-female;fa-female css class;fa-female
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-fighter-jet;fa-fighter-jet css class;fa-fighter-jet
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-film;fa-film css class;fa-film
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-filter;fa-filter css class;fa-filter
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-fire;fa-fire css class;fa-fire
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-fire-extinguisher;fa-fire-extinguisher css class;fa-fire-extinguisher
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-flag;fa-flag css class;fa-flag
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-flag-checkered;fa-flag-checkered css class;fa-flag-checkered
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-flag-o;fa-flag-o css class;fa-flag-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-flash;fa-flash css class;fa-flash
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-flask;fa-flask css class;fa-flask
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-folder;fa-folder css class;fa-folder
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-folder-o;fa-folder-o css class;fa-folder-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-folder-open;fa-folder-open css class;fa-folder-open
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-folder-open-o;fa-folder-open-o css class;fa-folder-open-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-frown-o;fa-frown-o css class;fa-frown-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-gamepad;fa-gamepad css class;fa-gamepad
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-gavel;fa-gavel css class;fa-gavel
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-gear;fa-gear css class;fa-gear
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-gears;fa-gears css class;fa-gears
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-gift;fa-gift css class;fa-gift
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-glass;fa-glass css class;fa-glass
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-globe;fa-globe css class;fa-globe
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-group;fa-group css class;fa-group
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-hdd-o;fa-hdd-o css class;fa-hdd-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-headphones;fa-headphones css class;fa-headphones
